code,name,credits
CHE3200,Thực tập hoá dầu,2
CHE3255,Thực tập công nghệ kĩ thuật hoá học,2
CHE3047,Công nghệ hóa dầu,2
CHE3263E,Các phương pháp xử lý nước và nước thải,2
CHE3264,Xử lý khí thải,2
CHE3198,Thực tập hoá môi trường,2
CHE3046E,Công nghệ lọc dầu,2
CHE3257,Thiết kế thiết bị công nghệ hóa học,2
CHE3267,Các Phương pháp tổng hợp vật liệu,2
CHE3073,Tin học ứng dụng trong công nghệ hóa học,2
CHE1067,Hóa học các hợp chất cao phân tử,2
CHE2147E,Hoá học xanh,3
CHE3251E,Kĩ thuật phản ứng hóa học,3
CHE3303E,Phương pháp nghiên cứu khoa học,3
CHE1062,Thực tập hóa kỹ thuật,2
CHE3301,Thực tập các phương pháp phân tích cấu trúc và định lượng,2
CHE1065E,Cơ sở hóa học vật liệu,3
CHE1075E,Cơ sở hóa sinh,3
CHE1077,Hóa học vô cơ 1,3
CHE1082,Cơ sở hóa học phân tích,3
CHE1054,Thực tập hóa học vô cơ 1,2
CHE1129,Hóa học hữu cơ,4
HIS1001,Lịch sử Đảng cộng sản Việt Nam,2
HUS1011,Tin học cơ sở,3
HUS1022,Nhập môn Internet kết nối vạn vật,2
PHY1103,Điện - Quang,3
CHE1132,Hóa học đại cương 2,4
CHE1051,Hóa học đại cương 1,3
HUS1021,Khoa học trái đất và sự sống,3
THL1057,Nhà nước và pháp luật đại cương,2
VNU1001,Nhập môn công nghệ số và ứng dụng trí tuệ nhân tạo,3
PHY1334,Vật lý xạ trị lâm sàng,3
PHY3161,Cơ sở thủy nhiệt lò phản ứng,3
PHY3371,Phân tích an toàn lò phản ứng hạt nhân,3
PHY3434,Mô phỏng lò phản ứng sử dụng phương pháp Monte Carlo,3
PHY3439,Thực tế khóa luận,3
PHY3454,Thực tập thực tế,3
PHY3803,Các phương pháp phân tích hạt nhân,3
PHY3804,Thực tập Vật lý hạt nhân 2,2
PHY3811,Ứng dụng kỹ thuật hạt nhân trong y học,3
PHY3812,"Ứng dụng kỹ thuật hạt nhân phân tích môi trường, địa chất",3
PHY1110,Xác suất thống kê cho vật lý hạt nhân,3
PHY3173,Điện tử hạt nhân,3
PHY3296,Tiểu luận,3
PHY3364,Thực tập Vật lý hạt nhân 1,2
PHY3426,Ghi nhận và đo lường bức xạ hạt nhân,4
PHY3427,Mở đầu vật lý hạt nhân ứng dụng,3
PHY3802,An toàn bức xạ,4
PHI1002,Chủ nghĩa xã hội khoa học,2
PHY1314,Điện và từ học,3
PHY1348,Phương pháp toán cho Vật lý,3
PHY2308,Thực hành Vật lý đại cương 2,2
PHY3503,Tiếng Anh chuyên ngành,2
POL1001,Tư tưởng Hồ Chí Minh,2
HUS1024,Nhập môn Robotics,3
PHY1050,Cơ học,3
PHY1107,Giải tích 1,3
EVS2044,Thực tập công nghiệp,2
EVS2301,Tài nguyên thiên nhiên,3
EVS3291E,Xử lý nước thải công nghiệp,3
EVS3292E,Xử lý nước cấp,3
EVS3293E,Xử lý nước thải sinh hoạt,3
EVS3294,Tính toán thiết kế hệ thống xử lý nước thải,3
EVS3456,Đánh giá tác động môi trường,2
EVS4080E,Khóa luận tốt nghiệp,10
FLF1108,Tiếng Anh B2,5
EVS1112,Các phương pháp phân tích môi trường,3
EVS1115E,Độc học và sức khỏe môi trường,2
EVS1116,Truyền nhiệt chuyển khối,2
EVS1119E,Thiết kế kỹ thuật,2
EVS1123,Thực tập thực tế,2
EVS1125,Thực tập công nghệ môi trường,2
EVS1128,Thực hành khởi nghiệp,2
EVS3286E,Cơ sở công nghệ hóa sinh,3
CHE1081,Hóa học hữu cơ,3
EVS1100,Tài nguyên thiên nhiên,3
EVS1103E,Công nghệ môi trường đại cương,3
EVS1105E,Phương pháp nghiên cứu khoa học,2
EVS1106,Biến đổi khí hậu,3
EVS1122,Thủy lực học và kĩ thuật tài nguyên nước,2
EVS1124,Thực tập hóa học,2
CHE1080E,Hóa học đại cương,3
EVS1104,Khoa học môi trường đại cương,3
HIS1056,Cơ sở văn hóa Việt Nam,3
MAT1090E,Đại số tuyến tính,3
PHI1006,Triết học Mác - Lênin,3
BIO2222,Proteomic và sinh học cấu trúc,3
BIO1053E,Di truyền học,3
BIO1210,Sinh học ứng dụng và bảo tồn Động vật có xương sống,2
BIO1158,Động vật không xương sống và ứng dụng,2
PHY1104,Thực hành vật lý đại cương,2
CHE1080,Hóa học đại cương,3
BIO1131,Cơ sở công nghệ lên men,3
BIO1139,Công nghệ sinh học trong bảo tồn thực vật,3
BIO1142,Công nghệ tế bào gốc,3
BIO1144,Công nghệ vi tảo,3
BIO1149,Di truyền học ung thư,3
BIO1162,Hoá sinh học chế biến thực phẩm,3
BIO1182,Môi trường và phát triển bền vững,3
BIO1197,Sinh học khối u,3
BIO1211,Sinh học và sinh thái học động vật có xương sống,3
BIO1237,Vi sinh vật học thực phẩm,3
BIO1239,Vi sinh vật học và xử lý môi trường,3
BIO1248,Di truyền học vi sinh vật,3
BIO2805,Mô học,2
BIO3000,Cơ sở sinh thái học,2
BIO3220,Nội tiết học cơ sở,3
BIO3222,Sinh học phân tử người,3
BIO3228,Côn trùng học đại cương,3
BIO3234,Sinh thái học môi trường,3
BIO3241,Thủy sinh học đại cương,3
BIO3249,Cơ sở sinh học thần kinh,3
BIO3309,Công nghệ protein-enzym,3
BIO3320,Công nghệ mô và tế bào thực vật,3
BIO3348,Nấm - Sinh học và ứng dụng,3
BIO3363,Phương pháp nghiên cứu cá,3
BIO3437,Bệnh học miễn dịch và trị liệu,3
BIO3442,Kỹ thuật di truyền,2
BIO3444,Sinh học tổng hợp,3
BIO3445,Thực vật có ích,3
BIO3702,Quá trình và thiết bị công nghệ,3
BIO3704,Thực nghiệm sinh thái học,3
BIO3805,Sinh vật biến đổi gen và ứng dụng,3
BIO3807,Độc học,3
BIO3810,Động vật không xương sống y học,3
BIO3811,Địa lý sinh vật,3
BIO1120E,Tiếng Anh chuyên ngành Sinh học,2
BIO1178,Miễn dịch học,3
BIO1203,Sinh học phát triển,2
BIO1213,Sinh lý học người và động vật,3
BIO1223,Thực hành Đa dạng sinh học và sinh thái học,2
BIO1224,Thực hành Sinh học thực nghiệm 1,2
BIO1241,Vi sinh vật học,2
BIO1201,Sinh học phân tử,2
BIO2047,Di truyền học,2
CHE1057,Hóa học phân tích,3
HUS1023,Nhập môn phân tích dữ liệu,2
MAT1101,Xác suất thống kê,3
GLO2023,Khoáng sản học,3
GLO2091,Lịch sử trái đất,3
GLO3127,Địa chất dầu khí,3
GLO3171,Phương pháp phân tích tướng trầm tích,3
GLO3253,"Các phương pháp phân tích thạch học, khoáng vật",4
GLO1100,Địa chất cấu trúc và kiến tạo,4
GLO1103,Địa chất cấu trúc và kiến tạo,5
GLO2058,Địa tin học ứng dụng,3
GLO2076,Tiếng Anh cho Địa chất,3
GLO1101,Cổ sinh vật học đại cương,3
GLO2068,Tai biến thiên nhiên,3
GLO2089,Thạch học,4
GLO3110,Vật liệu trái đất và môi trường,3
GLO3195,Thạch học đá magma và biến chất,4
GLO3196,Thạch học trầm tích,3
GLO2001,Địa chất đại cương,3
GLO2078,Địa chất đại cương,4
GLO2211,Bản đồ đại cương,3
MAT1091,Giải tích 1,3
GEO1109,Khoa học môi trường và biến đổi khí hậu,2
GEO1129,Khoa học cảnh quan và ứng dụng,3
GEO1130,Kinh tế môi trường và kinh tế sinh thái,3
GEO1131,Phương pháp và công nghệ trong nghiên cứu sinh thái cảnh quan và môi trường,4
GEO1132,Phân loại thực vật và các hệ sinh thái rừng Việt Nam,3
GEO1134,Địa mạo ứng dụng,3
GEO1135,Địa chất và biến đổi môi trường trong Đệ tứ,3
GEO1136,Phương pháp nghiên cứu và lập bản đồ địa mạo,2
GEO1137,Ứng dụng viễn thám và GIS trong nghiên cứu địa mạo và tai biến thiên nhiên,2
GEO1142,Quản lý biển,3
GEO1148,Phương pháp nghiên cứu địa lý nhân văn,4
GEO1149,Địa lý kinh tế,3
GEO1150,Địa lý xã hội,3
GEO1151,Địa lý du lịch và du lịch bền vững,3
GEO1108,Thực hành viễn thám và GIS ứng dụng,4
GEO1118,Địa sinh vật và Sinh thái cảnh quan,4
GEO1120,Dân số học và địa lý dân cư,3
GEO1125,Lập trình GIS,3
GEO1127,Thực tập cơ sở địa lý,2
GEO1101,Cơ sở địa lý tự nhiên,3
GEO1103,Phương pháp nghiên cứu khoa học,3
GEO1106,Cơ sở viễn thám,3
GEO1114,Địa mạo học,3
GEO1126,Thực tập Trắc địa đại cương,2
GEO2303,Thực tập thiên nhiên,2
GEO1104,Trắc địa đại cương,3
GEO1105,Bản đồ đại cương,3
HMO4074,Khóa luận tốt nghiệp,7
HMO1145,Dự báo thủy văn biển,3
HMO1149,Thực tập nghiệp vụ,3
HMO1150,Niên luận,3
HMO1152,Tương tác biển-khí quyển,3
HMO1153,Phương pháp mô hình hoá trong hải dương học,3
HMO1155,Kinh tế biển,3
HMO3188,Lập trình ứng dụng trong hải dương học,3
HMO1138,Hoá học biển,3
HMO1139,Sinh học và sinh thái biển,3
HMO1143,Thủy triều,3
HMO3631,Thực tập khảo sát hải văn,3
HMO1102,Phương pháp nghiên cứu khoa học trong Khí tượng thủy văn,3
HMO1107,Tin học chuyên ngành trong hải dương học,4
CHE3185,Thực phẩm chức năng,2
CHE2033E,Enzym và protein trong tổng hợp hóa dược,3
CHE3142,Hóa học các hợp chất thiên nhiên,3
CHE3171,Kiểm nghiệm thuốc và tiêu chuẩn dược phẩm,3
CHE3283E,Bán tổng hợp thuốc từ hợp chất thiên nhiên,3
CHE3184,Sàng lọc và đánh giá hoạt tính của dược liệu,2
CHE3282E,Tổng hợp bất đối xứng,2
CHE2014,Dược lý,3
CHE1048,Hóa keo,2
CHE2019,Thực tập hóa lý,2
CHE1091,Hóa kỹ thuật,3
CHE2031E,Tổng hợp Hóa dược,3
CHE2058,Hóa dược đại cương,3
CHE3303,Phương pháp nghiên cứu khoa học,3
CHE2058E,Hóa dược đại cương,3
CHE1131,Hóa học hữu cơ 1,4
CHE2008,Thực tập hóa lý 2,2
CHE2241,Hoá học bề mặt và hoá keo,3
CHE3193,Ứng dụng phương pháp phổ trong hóa học hữu cơ,3
CHE3219,Các phương pháp nghiên cứu Hoá học hữu cơ,3
CHE3239,Động học điện hóa,3
CHE3279,Vật liệu vô cơ,3
CHE3045,Hóa học dầu mỏ,3
CHE3135,Hóa học phức chất,3
CHE3211,Hoá lý vô cơ,3
CHE3215,Các chương chọn lọc của hoá học vô cơ,3
CHE3234,Các chương chọn lọc của Hoá lý,3
CHE3243,Hóa học bề mặt và ứng dụng,3
CHE3010,Các Phương pháp phân tích quang học,2
CHE2138E,Hóa sinh và cơ sở khoa học của sự sống,3
CHE3140,Các phương pháp tách trong phân tích,3
CHE3248,Các kĩ thuật xử lí mẫu phân tích,3
CHE3013,Xử lý mẫu trong hóa phân tích,2
CHE2130E,Động học và xúc tác,3
CHE3220,Các chương chọn lọc trong hoá học hữu cơ,3
CHE3250,Các phương pháp tách và sắc kí,3
CHE1084E,Hóa lý 2,5
CHE2120,Hoá kỹ thuật,3
CHE2132,Phân tích công cụ,3
CHE2137,Đại cương về Hóa học vật liệu,3
CHE2005,Thực tập hóa học hữu cơ 2,2
CHE2117,Thực tập Hoá học phân tích,2
CHE1075,Cơ sở hóa sinh,3
CHE2123,Thực tập hoá lý 2,2
CHE1055,Hóa học hữu cơ 1,4
CHE1100E,Tiếng Anh thuyết trình 1,2
CHE2110E,Cơ sở Hoá học hữu cơ 1,4
CHE1077E,Hóa học vô cơ 1,3
CHE2114,Hoá học hữu cơ 2,3
CHE2118,Hoá lý 1,3
CHE2112E,Hoá học vô cơ,3
CHE2116E,Cơ sở Hoá học phân tích,3
CHE1082E,Cơ sở hoá học phân tích,3
CHE2111,Thực tập Hóa học hữu cơ 1,2
CHE2113,Thực tập hóa học vô cơ,2
PHY1100,Cơ - Nhiệt,3
CHE1094E,Hoá học đại cương 1,3
MAT1090,Đại số tuyến tính,3
MAT1290,Đại số tuyến tính,4
MAT1291,Giải tích 1,4
PHY1159,Vật lý đại cương 1,3
EVF2026,Công nghệ sinh học trong thực phẩm,3
EVF2030,Thực phẩm chức năng và thực phẩm biến đổi gen,3
EVS1220,Thực tập công nghiệp,3
EVS1223,Kiểm soát an toàn sinh học thực phẩm,3
EVS1224,Sản xuất sạch hơn trong sản xuất và chế biến thực phẩm,3
EVS1228,Đánh giá rủi ro an toàn thực phẩm,3
EVS1229,Văn hóa ẩm thực,3
EVS1903,Khoá luận tốt nghiệp,7
BIO3192,Thực tập vi sinh thực phẩm,2
BIO3193,Thực tập hóa sinh thực phẩm,2
EVS1212E,Tiếng Anh chuyên ngành,3
EVS1213,Công nghệ chế biến thực phẩm từ nguyên liệu có nguồn gốc động vật,4
EVS1214,Công nghệ chế biến thực phẩm từ nguyên liệu có nguồn gốc thực vật,4
EVS1219,Thực tập thực tế,2
EVS1221,Thực tập sản xuất,2
EVS1283,Quản lý môi trường trong chế biến thực phẩm,2
BIO3190,Hóa-Sinh thực phẩm,3
EVF2001,Hệ thống cây trồng vật nuôi an toàn,3
EVS3463,Khoa học và công nghệ môi trường,3
EVF2040,Nhập môn Khoa học và Công nghệ thực phẩm,3
MAT3381,Thực tập thực tế về Khoa học dữ liệu,3
MAT3383,Trực quan hóa thông tin,2
MAT3386,Phương pháp tính toán trong thống kê và khoa học dữ liệu,3
MAT3391,Hệ thống thông tin địa lí,3
MAT3392,Ứng dụng dữ liệu lớn trong quản lí rủi ro tai biến thiên nhiên,3
MAT3393,Khai thác dữ liệu trong Hóa học,3
MAT3394,Mô hình toán sinh thái,3
MAT3399,Xử lí ngôn ngữ tự nhiên và học sâu,3
MAT3534,Khai phá dữ liệu,3
MAT3379,Phân tích hồi quy và ứng dụng,4
MAT2034,Giải tích số,3
MAT3148,Tính toán song song,3
MAT3382,Lập trình cho Khoa học dữ liệu,2
MAT3385,Cơ sở dữ liệu Web và hệ thống thông tin,3
MAT3508,Nhập môn trí tuệ nhân tạo,3
FLF1107,Tiếng Anh B1,5
MAT1202,Lập trình hướng đối tượng,3
MAT2323,Xác suất - Thống kê,4
MAT2503,Giải tích 3,2
MAT3507,Cơ sở dữ liệu,4
MAT2400,Đại số tuyến tính,5
MAT2501,Giải tích 1,4
EVS1113,Hệ thống quản lý môi trường,2
EVS1146,Ô nhiễm đất và biện pháp xử lý,3
EVS1165,Phân tích hệ thống môi trường,2
EVS1168,Thực tập nghề nghiệp,2
EVS1169,Kiểm toán môi trường,3
EVS1170,Quan trắc và giám sát môi trường,3
EVS1171,Giáo dục và truyền thông môi trường,2
EVS1173,Hóa học môi trường đất ứng dụng,2
EVS1174,Sức khỏe môi trường đất,2
EVS1175E,Sinh học bảo tồn ứng dụng,3
EVS1177,Đa dạng sinh học,3
EVS1178,Sinh thái môi trường khu vực,3
EVS1179,Du lịch sinh thái,2
EVS1180,Dịch vụ hệ sinh thái,2
EVS1181,Vệ sinh và an toàn thực phẩm,2
EVS1183,Độc học sinh thái,3
EVS1184,Quản lý rủi ro độc chất,2
EVS1185E,Quản lý chất thải nguy hại,3
EVS1186,Quản lý và sử dụng bền vững tài nguyên nước,2
EVS1189,Phân tích và đánh giá chất lượng nước,3
EVS1190,Xử lý nước cấp cho sinh hoạt và công nghiệp,3
EVS1191,Mô hình hóa môi trường,3
EVS1192,Kinh tế xanh,2
EVS1193,Ứng dụng công cụ mô hình hóa và hệ thống thông tin địa lý trong lập bản đồ môi trường,2
EVS1194,Phát triển bền vững đô thị và nông thôn,3
EVS1195,Du lịch bền vững,2
EVS1196,Năng lượng bền vững,3
EVS1209,Quy hoạch bảo vệ môi trường,3
EVS1901,Khóa luận tốt nghiệp,10
EVS1902,Khóa luận tốt nghiệp,7
EVS3257,Hóa chất nông nghiệp và môi trường đất,3
EVS3259,Sinh thái môi trường đất,3
EVS3267,Phương pháp phân tích độc chất,3
EVS3274E,Sinh thái môi trường nước,3
EVS3415,GIS trong quản lý môi trường,2
EVS3418,Chỉ thị môi trường,2
EVS3420,Sinh thái nhân văn,2
EVS3424,Hình thái của độc chất trong môi trường,2
EVS3425,Hóa học môi trường nước,2
EVS3427E,Ô nhiễm môi trường nước,2
EVS1102,Thống kê ứng dụng trong môi trường,3
EVS1158E,Quản lý môi trường,3
EVS1160,Đánh giá tác động môi trường,3
EVS1164,Độc học và sức khỏe môi trường,3
EVS3307,Tin học ứng dụng trong môi trường,3
EVS3331,Tin học ứng dụng trong môi trường,2
EVS3403,Phương pháp nghiên cứu khoa học,2
EVS3468E,Tiếng Anh chuyên ngành,3
