code,name,credits
EVS1103,Công nghệ môi trường đại cương,3
EVS1110,"Cơ sở môi trường đất, nước, không khí",3
EVS1152,"Cơ sở môi trường đất, nước, không khí",4
EVS3332,Thực tập thực tế 1,2
MAT3535,Tìm kiếm thông tin,3
MAT1207,Công nghệ phần mềm,3
MAT3373E,Nhập môn an toàn máy tính,3
MAT3374,Thực tập thực tế phát triển phần mềm,3
MAT3452,Phân tích thống kê nhiều chiều,3
MAT3453,Phương pháp chọn mẫu dữ liệu,3
MAT3542,Phát triển ứng dụng web,3
MAT3561E,Xử lý ngôn ngữ tự nhiên và ứng dụng,3
MAT3562E,Thị giác máy tính,3
MAT3563,Một số vấn đề chọn lọc về thị giác máy tính,3
MAT1206E,Nhập môn Trí tuệ nhân tạo,3
MAT1208,Xây dựng hệ thống nhúng,2
MAT3505,Kiến trúc máy tính,3
MAT3506,Mạng máy tính,3
MAT3519,Ngôn ngữ lập trình thứ hai,2
MAT3533,Học máy,3
MAT1205E,Tiếng Anh chuyên ngành khoa học máy tính,2
MAT3500,Toán rời rạc,4
MAT3514,Cấu trúc dữ liệu và thuật toán,4
MAT2505,Lập trình cơ bản,3
MAT3557,Môi trường lập trình Linux,2
MAT2502,Giải tích 2,4
GEO1187,Thực tập sản xuất và thực hành khởi nghiệp,5
GEO1192,Trực quan hoá địa lý,3
GEO2092,Tiếng anh chuyên ngành,3
GEO3128,Viễn thám ứng dụng,3
GEO3135,Địa không gian trong nghiên cứu tai biến thiên nhiên,3
GEO1181,Lập trình GIS,3
GEO1182,"Viễn thám Radar, Hồng ngoại nhiệt",3
GEO3103,Địa lý ứng dụng,3
GEO1107,Hệ thống thông tin địa lý,2
GEO1180,Địa lý Việt Nam,3
GEO1186,Thực tập Trắc địa đại cương,2
PHY1309,Thực tập tính toán trong Khoa học Vật liệu và Vật lý y sinh,3
PHY1312,Vật lý sinh học,3
PHY1335,Các mô hình tính toán ứng dụng trong khoa học vật liệu,3
PHY1340,Công nghệ màng mỏng và ứng dụng,3
PHY1349,Thực tập chuyên ngành Vật liệu từ học và siêu dẫn,3
PHY1350,Thực tập chuyên ngành Vật liệu và Công nghệ bán dẫn,3
PHY1359,Vật liệu nano từ tính và spintronics,3
PHY3351,Vật lý linh kiện bán dẫn,3
PHY3353,Quang bán dẫn,3
PHY3392,Mở đầu Vật lý vật liệu mềm và các hệ y sinh,3
PHY3448,Vật lý siêu dẫn và ứng dụng,3
PHY3527,Mở đầu lý thuyết lượng tử từ học,3
PHY3707,Các phép đo từ,3
PHY3712,Vật liệu và công nghệ bán dẫn,3
PHY3346,Vật lý chất rắn,3
PHY1341,Khoa học vật liệu đại cương,3
PHY2064,Vật lý nguyên tử,2
PHY3169,Cơ học lượng tử,3
PHY3437,Kỹ thuật đo lường và xử lý tín hiệu,3
PHY3700,Các phương pháp thực nghiệm trong Khoa học vật liệu,3
PHY1109,Xác suất thống kê,3
PHY2206,Kỹ thuật điện tử,3
PHY2307,Thực hành Vật lý đại cương 1,2
HMO1116,Dự báo thời tiết bằng phương pháp số,3
HMO1121,Niên luận 1,3
HMO1133,Niên luận 2,2
HMO1105,GIS và Viễn thám,3
HMO1113,Khí tượng động lực 2,3
HMO1114,Khí tượng Synop 1,3
HMO1122,Hải dương học và tương tác biển-khí quyển,3
HMO3315,Khí hậu vật lý,3
HMO3325,Thực tập quan trắc khí tượng,3
HMO1110,Khí tượng vật lý,4
HMO1128,Cơ sở biến đổi khí hậu,3
HMO1104,Cơ học chất lỏng,3
HMO1103,Phương pháp tính,3
HMO1184,Địa lý học,3
HMO1129,Hải dương học đại cương,3
PHY1321,Phát triển ứng dụng Web,3
PHY1322,Công nghệ phần mềm,3
PHY1323,Thị giác máy tính,3
PHY3628,Mạng và truyền thông máy tính,3
PHY3630,Hệ quản trị cơ sở dữ liệu,3
PHY3640,Phát triển ứng dụng IoT,3
PHY3645,Thực tập Tin học ứng dụng,3
PHY3648,Thiết kế mạch điện tử,3
PHY3649,Thực tập kĩ thuật Điện tử,3
PHY3651,Mạng cảm biến không dây,3
PHY3652,Kĩ thuật Đo lường và xử lí tín hiệu,3
PHY3653,Kĩ thuật kiểm tra không phá huỷ,3
PHY3660,Thiết bị điện tử Y sinh,3
PHY3661,Kĩ thuật xử lí và chẩn đoán hình ảnh Y sinh,3
PHY3664,Đo lường và điều khiển trong công nghiệp,3
PHY3335,Hệ thống nhúng,3
PHY3610,Điện tử số,3
PHY3620,Thực hành điện tử tương tự,2
PHY3622,Tín hiệu và Hệ thống,3
PHY3631,Cấu trúc dữ liệu và giải thuật,3
PHY1319,Tiếng Anh chuyên ngành,3
PHY2504,Phương pháp số,3
PHY3626,Lập trình hướng đối tượng,3
PEC1008,Kinh tế chính trị Mác -Lênin,2
EVS1244,Vệ sinh công nghiệp,4
EVS1246,"Các công cụ và phương pháp đánh giá an toàn, vệ sinh lao động",3
EVS1248,Quan trắc môi trường lao động,3
EVS1251,Sức khoẻ môi trường và bệnh nghề nghiệp,4
EVS1258,Đồ án 1,2
EVS3406,Nhập môn khoa học bền vững,3
EVS1235,Cơ sở kỹ thuật môi trường,3
GEO1202,Đánh giá hiện trạng và biến động sử dụng đất đai,2
GEO1207,Thực tập đo đạc địa chính,2
GEO1211,GIS ứng dụng,3
GEO1212,Bản đồ chuyên đề trong quản lý đất đai,2
GEO1213,Hệ thống thông tin bất động sản,3
GEO1214,Trắc địa vệ tinh,2
GEO1215,Trắc địa biển,2
GEO1217,Thanh tra đất đai,2
GEO1218,Quy hoạch đô thị,3
GEO1219,Định giá đất,3
GEO1220,Xây dựng và quản lý cơ sở dữ liệu địa chính,2
GEO1221,Quản lý thị trường bất động sản,2
GEO1199,Quản lý tài chính đất đai,2
GEO1203,Đăng ký đất đai và hồ sơ địa chính,3
GEO1206,Đo đạc địa chính và ứng dụng tin học trong thành lập bản đồ,4
GEO3275,"Thực tập Công nghệ ảnh số và giải đoán, điều vẽ ảnh",2
GEO1241,Thực tập quản lý đô thị và bất động sản,3
GEO1257,Quy hoạch đô thị sinh thái,3
GEO1260,Quy hoạch sử dụng đất cho phát triển đô thị,3
GEO1262,Phong thủy trong quy hoạch đô thị và bất động sản,3
GEO1263,Địa mạo trong quy hoạch đô thị,3
GEO1265,Định giá bất động sản,3
GEO1266,Đầu tư và tài chính bất động sản,3
GEO1267,Môi giới bất động sản,3
GEO1268,Marketing bất động sản,3
GEO1269,Chính quyền đô thị điện tử,3
GEO1271,Thống kê và phân tích dữ liệu không gian,3
GEO1273,GIS trong quản lý đô thị và bất động sản,3
GEO1112,Quản lý tài nguyên và môi trường,2
GEO1196,Cơ sở kinh tế sinh thái,2
GEO1238,Thị trường bất động sản,3
GEO1240,Thực tập cơ sở đô thị và bất động sản,3
GEO1229,Kinh tế học phát triển,3
GEO1234,Quản lý phát triển đô thị,3
GEO1237,Cơ sở quy hoạch,3
GEO1239,Hệ thống thông tin đô thị,3
GEO1230,Cơ sở quản lý đất đai và bất động sản,3
GLO1110,Quản lý lưu vực sông,3
GLO3076,Tài nguyên khoáng sản Việt Nam,3
GLO3094,Kinh tế nguyên liệu khoáng,3
GLO3102,Tài nguyên biển việt nam,3
GLO3105,Vấn đề môi trường trong khai thác và sử dụng tài nguyên biển,3
GLO3151,Địa chất du lịch,3
GLO3231,Kinh tế du lịch địa chất,3
GLO3233,Tài nguyên đất việt nam,3
GLO3237,Quy hoạch và quản lý sử dụng tổng hợp nguồn nước,3
GLO3238,Luật và chính sách Tài nguyên Môi trường đất và nước Việt Nam,3
GLO3239,Môi trường biển việt nam,3
GLO3252,Luật và chính sách tài nguyên và môi trường biển,3
GEO2059,Cơ sở viễn thám và GIS,3
GLO2045,Phân tích không gian trong Quản lý tài nguyên thiên nhiên,3
GLO3122,Đánh giá tác động môi trường,3
GLO3199,Phương pháp quản lý tài nguyên và môi trường,4
GLO3226,Kinh tế tài nguyên và môi trường,3
GLO2087,Cơ sở lý luận phát triển bền vững,3
GLO2213,Nhập môn Quản lý Tài nguyên và Môi trường,3
GLO2214,Khoa học môi trường đại cương,3
GLO1112,Quan trắc và giám sát tài nguyên môi trường biển,3
GLO3210,Quan trắc và Giám sát môi trường các vùng mỏ,3
GLO3212,Quan trắc và Giám sát tài nguyên nước,3
GLO3213,Quan trắc và giám sát tài nguyên môi trường đất,3
GLO3219,Giám sát tai biến thiên nhiên,3
GLO2102,Tiếng anh chuyên ngành,3
GLO3203,"Hệ thống cảm biến, mạng lưới quan trắc và giám tài nguyên môi trường",3
GLO3206,Cơ sở dữ liệu,3
GLO3209,Thực tập sản xuất,2
GLO2206,Phương pháp nghiên cứu khoa học,3
BIO1254,Tiếng Anh chuyên ngành Sinh học,2
BIO3180,Dược lý học đại cương,3
BIO3186,Động vật dược liệu,3
BIO3187,Vi sinh vật học dược phẩm,3
BIO3390,Thực hành Sinh dược học 2,2
CHE3020,Hóa dược,2
BIO2129,Thực vật học,3
BIO2137,Sinh lý học thực vật,2
BIO2138,Sinh học người,2
BIO2142,Sinh thái học,2
BIO2046,Sinh học tế bào,2
BIO1103E,Côn trùng học,3
BIO1106E,Di truyền học người,3
BIO1107E,Địa lý sinh vật,3
BIO1109E,Enzym học,3
BIO1110E,Nội tiết học,3
BIO1111E,Nuôi cấy mô tế bào thực vật,3
BIO1112E,Phương pháp nghiên cứu thực vật,3
BIO1114E,Sinh học khối u,3
BIO1115E,Sinh học phân tử người,3
BIO1118E,Sinh thái học môi trường,3
BIO1122E,Cơ sở vi sinh vật học phân tử,3
BIO1145,Danh pháp thực vật,3
BIO1148,Di truyền học phân tử,3
BIO1166,Tiến hoá hình thái của thực vật hạt kín,3
BIO1191,Proteomics miễn dịch,3
BIO1192,Quản lý các hệ sinh thái,3
BIO1194,Seminar tế bào gốc,3
BIO1204,Sinh học quần thể,3
BIO1208,Sinh học thần kinh,3
BIO1217,Sinh lý sinh trưởng và phát triển thực vật,3
BIO1232,Thuỷ sinh học,3
BIO1242,Vi sinh vật y học,3
BIO1245,Dinh dưỡng khoáng ở thực vật,3
BIO2415E,Sinh học biển,3
BIO3206,Miễn dịch học,3
BIO3261,Vi rút học cơ sở,3
BIO3298,Tiến hóa của thực vật hạt kín,3
BIO1164,Hoá sinh học,3
BIO1184,Nguyên tắc phân loại sinh vật,3
BIO1202,Sinh học phân tử,3
BIO1219,Sinh thái học ứng dụng,3
BIO1253,Thống kê sinh học,3
BIO3252,Sinh học người,3
CHE1173,Hóa lý,3
BIO1155,Động vật học động vật có xương sống,3
BIO1228,Thực vật học,4
BIO1249,Di truyền học,3
BIO3178,Sinh học tế bào,3
BIO1124,Bảo tồn và phát triển động thực vật Việt Nam,3
BIO1127,Bệnh học miễn dịch và trị liệu,3
BIO1147,Di truyền học chọn giống,3
BIO1186,Phương pháp luận trong nghiên cứu khoa học sự sống,3
BIO1234,Vi rút học cơ sở,3
BIO3701,Sinh học tiến hóa,3
BIO1129,Các nguyên lý của sinh học bảo tồn,3
BIO1165E,Tiếng Anh chuyên ngành Sinh học,2
BIO1198,Sinh học người,3
BIO1212,Sinh lý học người và động vật,3
BIO1214,Sinh lý học thực vật,3
BIO3802E,Vi sinh vật học ứng dụng,3
BIO1160,Hoá sinh học,4
BIO1235,Vi sinh vật học,4
BIO1205,Sinh học tế bào,4
BIO1161,Hoá sinh học các hợp chất có hoạt tính sinh học,3
CHE1085,Thực tập hóa lý 1,2
CHE1058,Thực tập hóa học phân tích,2
PHY1106,Đại số tuyến tính,3
PHY2004,Vật lý hạt nhân,2
PHY2201,Phương pháp toán cho Vật lý 1,3
PHY2302,Nhiệt động học và Vật lý phân tử,3
PHY2304,Quang học,3
MAT3301,Giải tích hàm,3
MAT2304,Giải tích 3,4
MAT2314,Phương trình vi phân,4
MAT2407,Tối ưu hóa,3
MAT2302,Giải tích 1 (phần 2),5
HMO4072,Khóa luận tốt nghiệp,7
HMO1179,Seminar một số vấn đề về Tài nguyên và Môi trường nước/seminar học thuật,2
HMO1189,Thực hành Đánh giá tác động môi trường,2
HMO1192,Thực hành GIS và Viễn thám trong Quản lý tài nguyên và Môi trường nước,2
HMO1193,Xử lý nước,3
HMO3216,Niên luận,2
HMO3401,Điều tiết dòng chảy,2
HMO1176,Quy hoạch và quản lý tài nguyên nước,4
HMO1177,Mô hình toán thủy văn thủy lực,4
HMO1178,Hoá học môi trường nước,3
HMO1185,Biến đổi thảm phủ và sử dụng đất,3
HMO1195,Phân tích dữ liệu thủy văn và tài nguyên nước,3
HMO3083,Quản lý rủi ro thiên tai,3
HMO1170,Phân tích và tính toán thủy văn,3
HMO1172,Quan trắc và Bảo vệ môi trường nước,4
HMO2021,Thủy văn đại cương,3
MAT1201,Phương pháp nghiên cứu khoa học,3
MAT3365,Phương trình đạo hàm riêng,3
MAT3366,Hệ thống máy tính,3
MAT3409,Giải tích hàm ứng dụng,3
MAT2405,Xác suất,3
MAT3311,Lý thuyết nhóm và biểu diễn nhóm,3
MAT3318,Giải tích trên đa tạp,3
MAT3321,Quá trình ngẫu nhiên,3
MAT3323,Tối ưu rời rạc,3
MAT3327,Điều khiển tối ưu,3
MAT3341,Giải tích điều hòa,3
MAT3345,Lý thuyết ổn định của phương trình vi phân,3
MAT3359,Thực tập chuyên ngành,3
MAT3361,Cơ học lý thuyết nâng cao,3
MAT3364,Xêmina 2,2
MAT3406,Lý thuyết dao động,3
MAT3418,Phương pháp số trong cơ học,3
MAT3423,Cơ học môi trường liên tục,3
MAT3325,Lịch sử toán học,3
MAT2307,Giải tích số 1,4
MAT2313,Phương trình đạo hàm riêng 1,4
MAT2315,Phương pháp nghiên cứu khoa học,3
MAT3302,Toán rời rạc,4
MAT3304,Thực hành tính toán,2
MAT3307,Lý thuyết độ đo và tích phân,3
MAT2318,Lập trình Python,3
MAT2322,Giải tích 3,5
MAT3305,Tôpô đại cương,3
MAT3339,Đại số tuyến tính 3,3
MAT2300,Đại số tuyến tính 1,4
MAT2302,Giải tích 1,5
MAT2320,Đại số tuyến tính 1,5
PHY1066,Cơ sở vật lý hiện đại,4
MAT3334,Các mô hình toán ứng dụng 2,3
MAT3335,Đại số máy tính,3
MAT2301,Đại số tuyến tính 2,4
MAT2303,Giải tích 2,5
MAT3456,Logic ứng dụng,3
MAT3539,Mật mã và an toàn dữ liệu,3
MAT3545,Lý thuyết tính toán,3
MAT3562,Thị giác máy tính,3
MAT3565,Nhập môn khai phá các tập dữ liệu lớn,3
PHY1308,Thực tập Vật lý Chất rắn và Vật lý Nhiệt độ thấp,3
PHY1310,Vật lý bán dẫn,3
PHY1311,Quang tử và ứng dụng,3
PHY1313,Nhập môn Trí tuệ nhân tạo,3
PHY2166,Thực tập Vật lý hiện đại,3
PHY3126,Lý thuyết chất rắn,3
PHY3329,Vật lý laser và ứng dụng,3
PHY3337,Vật lý các hệ thấp chiều,3
PHY3348,Từ học và siêu dẫn,3
PHY3356,Thực tập Quang lượng tử,3
PHY3357,Thực tập Vật lý lý thuyết,3
PHY3359,Thực tập Vật lý trái đất,3
PHY3362,Vật lý nơtron và lò phản ứng,3
PHY3363,Cấu trúc hạt nhân,3
PHY3368,Phản ứng hạt nhân,3
PHY3372,Điện tử hạt nhân,3
PHY3380,Lập trình song song,3
PHY3390,Quang phổ học phân tử,3
PHY3391,Quang phổ học thực nghiệm,3
PHY3398,Ghi nhận và đo lường bức xạ,3
PHY3401,Thông tin quang,3
PHY3404,Phương pháp thăm dò điện,3
PHY3419,Vật lý Trái đất,3
PHY3422,Từ học,3
PHY3432,Mô phỏng Vật lý bằng máy tính,3
PHY3507,Thực tập Vật lý hiện đại,2
PHY3512,Điều chế xung và điều chế số,3
PHY3513,Lý thuyết nhóm cho Vật lý,3
PHY3515,Địa chấn học,3
PHY3522,Vi điều khiển,3
PHY3525,Mở đầu Vật lý hạt và Vật lý năng lượng cao,3
PHY3526,Các phương pháp trường thế áp dụng trong địa vật lý,3
PHY3611,Thực tập Vật lý Hạt nhân,3
PHY2306,Cơ học lượng tử,4
PHY2404,Cơ học lượng tử 1,4
PHY3506,Các phương pháp thí nghiệm trong Vật lý hiện đại,2
PHY3510,Mở đầu Thiên văn học,3
PHY3606,Điện động lực học,4
PHY3609,Điện tử tương tự,3
PHY1304,Phương trình vi phân,2
PHY2303,Điện và từ học,4
PHY3605,Cơ học lý thuyết,4
PHY1301,Giải tích 1,4
PHY2301,Cơ học,4
CHE1069,Thực tập hóa học đại cương,2
CHE1191,Thực tập hóa học hữu cơ 1,2
HUS1012,Kỹ năng bổ trợ,3
MAT1092,Giải tích 2,3
MAT1192,Giải tích 2,2
PHY3301,Cơ học lý thuyết,3
